"iri","type","label"
"http://identifiers.org/hgnc/4602","BM","CXCL1"
"http://identifiers.org/hgnc/11045","BM","SLC6A12"
"http://identifiers.org/hgnc/5962","BM","IL10"
"http://identifiers.org/hgnc/4831","BM","HBG1"
"http://identifiers.org/hgnc/2389","BM","CRYAB"
"http://identifiers.org/hgnc/12726","BM","VWF"
"http://identifiers.org/hgnc/12726","BM","vWF+"
"http://identifiers.org/hgnc/12726","BM","vWF"
"http://identifiers.org/hgnc/1628","BM","CD14"
"http://identifiers.org/hgnc/1628","BM","CD14-/lo"
"http://identifiers.org/hgnc/1628","BM","CD14+"
"http://identifiers.org/hgnc/1662","BM","CD34"
"http://identifiers.org/hgnc/1662","BM","CD34 molecule"
"http://identifiers.org/hgnc/1662","BM","CD34+"
"http://identifiers.org/hgnc/1662","BM","CD34hi"
"http://identifiers.org/hgnc/1674","BM","CD3"
"http://identifiers.org/hgnc/1674","BM","CD3E"
"http://identifiers.org/hgnc/1674","BM","CD3e"
"http://identifiers.org/hgnc/1674","BM","CD3+"
"http://identifiers.org/hgnc/1706","BM","CD8"
"http://identifiers.org/hgnc/1706","BM","CD8A"
"http://identifiers.org/hgnc/1706","BM","CD8a+"
"http://identifiers.org/hgnc/1706","BM","CD8a molecule"
"http://identifiers.org/hgnc/1706","BM","CD8a"
"http://identifiers.org/hgnc/17905","BM","FHOD1"
"http://identifiers.org/hgnc/17905","BM","FHOD1+"
"http://identifiers.org/hgnc/2336","BM","CCL21"
"http://identifiers.org/hgnc/2336","BM","CR2"
"http://identifiers.org/hgnc/2336","BM","CR2+"
"http://identifiers.org/hgnc/2336","BM","CD21"
"http://identifiers.org/hgnc/4035","BM","DARC"
"http://identifiers.org/hgnc/4035","BM","ACKR1"
"http://identifiers.org/hgnc/4035","BM","ACKR1+"
"http://identifiers.org/hgnc/7228","BM","MRC1"
"http://identifiers.org/hgnc/7228","BM","CD206"
"http://identifiers.org/hgnc/8823","BM","PECAM1"
"http://identifiers.org/hgnc/8823","BM","CD31"
"http://identifiers.org/hgnc/8823","BM","PECAM1+"
"http://identifiers.org/hgnc/8823","BM","platelet and endothelial cell adhesion molecule 1"
"http://identifiers.org/hgnc/8823","BM","PECAM1 (CD31)"
"http://identifiers.org/hgnc/9662","BM","SIRPA"
"http://identifiers.org/hgnc/9662","BM","SIRPACD172a"
"http://identifiers.org/hgnc/9662","BM","CD172a"
"http://identifiers.org/hgnc/9662","BM","SIRPa"
"http://identifiers.org/hgnc/6017","BM","IL5RA"
"http://identifiers.org/hgnc/6017","BM","CD125"
"http://identifiers.org/hgnc/9666","BM","CD45"
"http://identifiers.org/hgnc/9666","BM","PTPRC"
"http://identifiers.org/hgnc/9666","BM","CD45RO"
"http://identifiers.org/hgnc/9666","BM","CD45RA"
"http://identifiers.org/hgnc/9666","BM","CD45lo"
"http://identifiers.org/hgnc/9666","BM","CD45RA(lo)"
"http://identifiers.org/hgnc/9666","BM","CD45RAlo"
"http://identifiers.org/hgnc/11843","BM","TLL1"
"http://identifiers.org/hgnc/3673","BM","FGF17"
"http://identifiers.org/hgnc/9080","BM","PLN"
"http://identifiers.org/hgnc/1036","BM","BEX1"
"http://identifiers.org/hgnc/2439","BM","CSF3R"
"http://identifiers.org/hgnc/1799","BM","CDR2"
"http://identifiers.org/hgnc/3341","BM","EMX2"
"http://identifiers.org/hgnc/8109","BM","ODC1"
"http://identifiers.org/hgnc/7036","BM","MFGE8"
"http://identifiers.org/hgnc/7036","BM","MFGE8+"
"http://identifiers.org/hgnc/4943","BM","HLA-DQA2"
"http://identifiers.org/hgnc/16709","BM","CALCRL"
"http://identifiers.org/hgnc/16953","BM","POSTN"
"http://identifiers.org/hgnc/16953","BM","POSTN+"
"http://identifiers.org/hgnc/52626","BM","LINC01821"
"http://identifiers.org/hgnc/3467","BM","ESR1"
"http://identifiers.org/hgnc/21637","BM","SATB2"
"http://identifiers.org/hgnc/800","BM","Na/K ATPasea2"
"http://identifiers.org/hgnc/2298","BM","CPA3"
"http://identifiers.org/hgnc/2298","BM","CPA3+"
"http://identifiers.org/hgnc/25735","BM","VEPH1"
"http://identifiers.org/hgnc/2545","BM","CTSS"
"http://identifiers.org/hgnc/2545","BM","CTSS+"
"http://identifiers.org/hgnc/6643","BM","LMO3"
"http://identifiers.org/hgnc/5200","BM","HS3ST4"
"http://identifiers.org/hgnc/5713","BM","IGJ"
"http://identifiers.org/hgnc/5713","BM","JCHAIN"
"http://identifiers.org/hgnc/5713","BM","JCHAIN+"
"http://identifiers.org/hgnc/1659","BM","CD33"
"http://identifiers.org/hgnc/1659","BM","CD33(hi)"
"http://identifiers.org/hgnc/1659","BM","CD33(lo)"
"http://identifiers.org/hgnc/14120","BM","TPSB2"
"http://identifiers.org/hgnc/5411","BM","IFIT3"
"http://identifiers.org/hgnc/3618","BM","FCGR2B"
"http://identifiers.org/hgnc/3618","BM","FCGR2B+"
"http://identifiers.org/hgnc/3618","BM","CD32"
"http://identifiers.org/hgnc/3618","BM","CD32lo"
"http://identifiers.org/hgnc/10658","BM","SDC1"
"http://identifiers.org/hgnc/10658","BM","syndecan 1"
"http://identifiers.org/hgnc/10658","BM","CD138"
"http://identifiers.org/hgnc/10658","BM","SDC1+"
"http://identifiers.org/hgnc/26683","BM","LMNTD1"
"http://identifiers.org/hgnc/1673","BM","CD3D"
"http://identifiers.org/hgnc/1673","BM","CD3-TCR"
"http://identifiers.org/hgnc/1673","BM","CD3d molecule"
"http://identifiers.org/hgnc/1673","BM","TCR gamma/delta"
"http://identifiers.org/hgnc/1673","BM","TCR alpha/beta"
"http://identifiers.org/hgnc/1673","BM","CD3"
"http://identifiers.org/hgnc/1678","BM","CD4"
"http://identifiers.org/hgnc/1678","BM","CD4+/- or CD8"
"http://identifiers.org/hgnc/1678","BM","CD4-"
"http://identifiers.org/hgnc/1678","BM","CD4 molecule"
"http://identifiers.org/hgnc/6106","BM","FOXP3"
"http://identifiers.org/hgnc/6106","BM","forkhead box P3"
"http://identifiers.org/hgnc/6106","BM","FOXP3+"
"http://identifiers.org/hgnc/1653","BM","CD28"
"http://identifiers.org/hgnc/11802","BM","TIA-1"
"http://identifiers.org/hgnc/1675","BM","CD3"
"http://identifiers.org/hgnc/1675","BM","CD3G"
"http://identifiers.org/hgnc/4709","BM","GZMB"
"http://identifiers.org/hgnc/4709","BM","Granzyme B"
"http://identifiers.org/hgnc/4709","BM","GZMB+"
"http://identifiers.org/hgnc/4711","BM","GZMK"
"http://identifiers.org/hgnc/9360","BM","PRF1"
"http://identifiers.org/hgnc/9360","BM","Perforin"
"http://identifiers.org/hgnc/9360","BM","PRF1+"
"http://identifiers.org/hgnc/10630","BM","CCL4"
"http://identifiers.org/hgnc/10632","BM","CCL5"
"http://identifiers.org/hgnc/4708","BM","GZMA"
"http://identifiers.org/hgnc/5293","BM","HTR2C"
"http://identifiers.org/hgnc/1751","BM","CDH12"
"http://identifiers.org/hgnc/9361","BM","SRGN"
"http://identifiers.org/hgnc/16892","BM","CD96"
"http://identifiers.org/hgnc/4565","BM","GRB14"
"http://identifiers.org/hgnc/6107","BM","PDX1"
"http://identifiers.org/hgnc/9832","BM","RAG2"
"http://identifiers.org/hgnc/21735","BM","LHX6"
"http://identifiers.org/hgnc/3179","BM","EDNRA"
"http://identifiers.org/hgnc/9461","BM","PRPH"
"http://identifiers.org/hgnc/9461","BM","peripherin"
"http://identifiers.org/hgnc/11634","BM","TCF4"
"http://identifiers.org/hgnc/74","BM","ABCG2"
"http://identifiers.org/hgnc/3244","BM","EHD3"
"http://identifiers.org/hgnc/14446","BM","PARD3B"
"http://identifiers.org/hgnc/20766","BM","TUBA1A"
"http://identifiers.org/hgnc/10889","BM","SIX3"
"http://identifiers.org/hgnc/24435","BM","CYTL1"
"http://identifiers.org/hgnc/18351","BM","SHISA8"
"http://identifiers.org/hgnc/10640","BM","CXCL14"
"http://identifiers.org/hgnc/11521","BM","TAC3"
"http://identifiers.org/hgnc/25552","BM","RNF220"
"http://identifiers.org/hgnc/9997","BM","RGS16"
"http://identifiers.org/hgnc/6373","BM","KLRB1"
"http://identifiers.org/hgnc/6373","BM","CD161"
"http://identifiers.org/hgnc/6373","BM","CD161(lo)/"
"http://identifiers.org/hgnc/2932","BM","DMP1: dentin matrix acidic phosphoprotein 1"
"http://identifiers.org/hgnc/6148","BM","CD11a"
"http://identifiers.org/hgnc/8126","BM","OGN"
"http://identifiers.org/hgnc/27405","BM","NPNT"
"http://identifiers.org/hgnc/7612","BM","MYOG"
"http://identifiers.org/hgnc/7593","BM","MYO10"
"http://identifiers.org/hgnc/10473","BM","RUNX3"
"http://identifiers.org/hgnc/6472","BM","LAD1"
"http://identifiers.org/hgnc/9958","BM","REN"
"http://identifiers.org/hgnc/1685","BM","CD5"
"http://identifiers.org/hgnc/7508","BM","Epidermal membrane Antigen"
"http://identifiers.org/hgnc/8021","BM","NT5E"
"http://identifiers.org/hgnc/8021","BM","CD73"
"http://identifiers.org/hgnc/1487","BM","CAPS"
"http://identifiers.org/hgnc/1435","BM","Calretinin"
"http://identifiers.org/hgnc/1435","BM","calretinin"
"http://identifiers.org/hgnc/1435","BM","calbindin 2/calretinin"
"http://identifiers.org/hgnc/1435","BM","calbindin 2"
"http://identifiers.org/hgnc/6430","BM","KRT18"
"http://identifiers.org/hgnc/6430","BM","Keratin 18"
"http://identifiers.org/hgnc/6430","BM","keratin 18"
"http://identifiers.org/hgnc/18123","BM","ACVR1C"
"http://identifiers.org/hgnc/19718","BM","RXFP1"
"http://identifiers.org/hgnc/6144","BM","ITGA8"
"http://identifiers.org/hgnc/7549","BM","MYBPC1"
"http://identifiers.org/hgnc/10627","BM","CCL3"
"http://identifiers.org/hgnc/11127","BM","SIGLEC1"
"http://identifiers.org/hgnc/11127","BM","CD169"
"http://identifiers.org/hgnc/11127","BM","CD169-/+"
"http://identifiers.org/hgnc/1631","BM","CD163"
"http://identifiers.org/hgnc/1631","BM","CD163 molecule"
"http://identifiers.org/hgnc/1686","BM","CD53"
"http://identifiers.org/hgnc/1693","BM","CD68"
"http://identifiers.org/hgnc/1693","BM","CD68 molecule"
"http://identifiers.org/hgnc/2252","BM","CORO1A"
"http://identifiers.org/hgnc/2605","BM","CYP27A1"
"http://identifiers.org/hgnc/3559","BM","FABP4"
"http://identifiers.org/hgnc/3559","BM","Fatty acid binding protein 4"
"http://identifiers.org/hgnc/6895","BM","MARCO"
"http://identifiers.org/hgnc/9236","BM","PPARG"
"http://identifiers.org/hgnc/2440","BM","CSH1"
"http://identifiers.org/hgnc/9591","BM","PTGDR"
"http://identifiers.org/hgnc/4191","BM","Glucagon"
"http://identifiers.org/hgnc/38","BM","ABCA8"
"http://identifiers.org/hgnc/21569","BM","THEMIS"
"http://identifiers.org/hgnc/13993","BM","PRDM8"
"http://identifiers.org/hgnc/20754","BM","TRPC7"
"http://identifiers.org/hgnc/206","BM","ADAM28"
"http://identifiers.org/hgnc/9495","BM","PRTN3"
"http://identifiers.org/hgnc/24029","BM","inhibin subunit beta E"
"http://identifiers.org/hgnc/14558","BM","CLEC7A"
"http://identifiers.org/hgnc/23631","BM","NPSR1"
"http://identifiers.org/hgnc/48639","BM","LINC00943"
"http://identifiers.org/hgnc/44222","BM","NR2F2-AS1"
"http://identifiers.org/hgnc/27823","BM","LINC02153"
"http://identifiers.org/hgnc/9221","BM","POU5F1"
"http://identifiers.org/hgnc/28020","BM","WDR86"
"http://identifiers.org/hgnc/8831","BM","PENK"
"http://identifiers.org/hgnc/6714","BM","LTBP1"
"http://identifiers.org/hgnc/6562","BM","LGALS2"
"http://identifiers.org/hgnc/4947","BM","HLA-DRA"
"http://identifiers.org/hgnc/14399","BM","CPVL"
"http://identifiers.org/hgnc/11027","BM","SLC4A1"
"http://identifiers.org/hgnc/11027","BM","AE1/AE3"
"http://identifiers.org/hgnc/2185","BM","Type X Collagen"
"http://identifiers.org/hgnc/2185","BM","COL10A1: collagen type X alpha 1 chain"
"http://identifiers.org/hgnc/5114","BM","HOXB3"
"http://identifiers.org/hgnc/14678","BM","KCTD12"
"http://identifiers.org/hgnc/1709","BM","CD9"
"http://identifiers.org/hgnc/1709","BM","CD9 molecule"
"http://identifiers.org/hgnc/10827","BM","SH3BP5"
"http://identifiers.org/hgnc/7955","BM","NPY"
"http://identifiers.org/hgnc/7955","BM","neuropeptide Y"
"http://identifiers.org/hgnc/29426","BM","CCBE1"
"http://identifiers.org/hgnc/10972","BM","SLC22A8"
"http://identifiers.org/hgnc/26308","BM","CDHR3"
"http://identifiers.org/hgnc/8651","BM","PCBP3"
"http://identifiers.org/hgnc/4394","BM","GNAT2"
"http://identifiers.org/hgnc/8968","BM","PIGR"
"http://identifiers.org/hgnc/12261","BM","TRDN"
"http://identifiers.org/hgnc/2521","BM","Chymotrypsinogen B1"
"http://identifiers.org/hgnc/4605","BM","GRP"
"http://identifiers.org/hgnc/9721","BM","PYCR1"
"http://identifiers.org/hgnc/958","BM","BATF"
"http://identifiers.org/hgnc/1063","BM","BLVRB"
"http://identifiers.org/hgnc/27287","BM","GRAMD2A"
"http://identifiers.org/hgnc/18374","BM","HPSE2"
"http://identifiers.org/hgnc/19719","BM","LGR6"
"http://identifiers.org/hgnc/27363","BM","ITPRID1"
"http://identifiers.org/hgnc/42700","BM","OBI1-AS1"
"http://identifiers.org/hgnc/8239","BM","OR2B4P"
"http://identifiers.org/hgnc/11801","BM","THY1"
"http://identifiers.org/hgnc/11801","BM","CD90"
"http://identifiers.org/hgnc/11801","BM","Thy-1 cell surface antigen"
"http://identifiers.org/hgnc/1681","BM","CD44"
"http://identifiers.org/hgnc/3349","BM","ENG"
"http://identifiers.org/hgnc/3349","BM","CD105"
"http://identifiers.org/hgnc/3349","BM","endoglin"
"http://identifiers.org/hgnc/13394","BM","NPHS2"
"http://identifiers.org/hgnc/11632","BM","TCF21"
"http://identifiers.org/hgnc/10575","BM","SCG2"
"http://identifiers.org/hgnc/10575","BM","secretogranin II"
"http://identifiers.org/hgnc/30506","BM","PLEKHH2"
"http://identifiers.org/hgnc/4620","BM","GSN"
"http://identifiers.org/hgnc/8803","BM","PDGFRA"
"http://identifiers.org/hgnc/8803","BM","PDGFRalpha+"
"http://identifiers.org/hgnc/8803","BM","PDGFRa"
"http://identifiers.org/hgnc/8803","BM","PDGFRalpha"
"http://identifiers.org/hgnc/11491","BM","SYK"
"http://identifiers.org/hgnc/11309","BM","SRPX"
"http://identifiers.org/hgnc/19087","BM","EBF3"
"http://identifiers.org/hgnc/19090","BM","EBF2"
"http://identifiers.org/hgnc/49024","BM","LINC01036"
"http://identifiers.org/hgnc/24692","BM","IgM"
"http://identifiers.org/hgnc/30301","BM","SEC16B"
"http://identifiers.org/hgnc/9679","BM","PTPRQ"
"http://identifiers.org/hgnc/11760","BM","TFPI"
"http://identifiers.org/hgnc/384","BM","AKR1C1"
"http://identifiers.org/hgnc/10736","BM","SEMA5A"
"http://identifiers.org/hgnc/13875","BM","FOXP2"
"http://identifiers.org/hgnc/25149","BM","EGFEM1P"
"http://identifiers.org/hgnc/22128","BM","NPSR1-AS1"
"http://identifiers.org/hgnc/12796","BM","WT1"
"http://identifiers.org/hgnc/18259","BM","ITLN1"
"http://identifiers.org/hgnc/21444","BM","UPK3B"
"http://identifiers.org/hgnc/2198","BM","COL1A2"
"http://identifiers.org/hgnc/2705","BM","DCN"
"http://identifiers.org/hgnc/2705","BM","HGNC:4620"
"http://identifiers.org/hgnc/2705","BM","DCN+"
"http://identifiers.org/hgnc/2705","BM","DCN5"
"http://identifiers.org/hgnc/7035","BM","MFAP4"
"http://identifiers.org/hgnc/21290","BM","PTCRA"
"http://identifiers.org/hgnc/20151","BM","SLC17A8"
"http://identifiers.org/hgnc/20151","BM","Vesicular glutamate transporter 3"
"http://identifiers.org/hgnc/16018","BM","CADPS2"
"http://identifiers.org/hgnc/6414","BM","cytokeratin 12"
"http://identifiers.org/hgnc/11204","BM","SOX9"
"http://identifiers.org/hgnc/11204","BM","SOX9+"
"http://identifiers.org/hgnc/11204","BM","SOx9"
"http://identifiers.org/hgnc/14217","BM","STK32B"
"http://identifiers.org/hgnc/21574","BM","SAMD3"
"http://identifiers.org/hgnc/7136","BM","MLLT3"
"http://identifiers.org/hgnc/10720","BM","SELL"
"http://identifiers.org/hgnc/10720","BM","CD62L"
"http://identifiers.org/hgnc/7883","BM","NOTCH3"
"http://identifiers.org/hgnc/50687","BM","SATB1-AS1"
"http://identifiers.org/hgnc/7734","BM","NEFM"
"http://identifiers.org/hgnc/24356","BM","CLEC1B"
"http://identifiers.org/hgnc/7727","BM","NEDD4"
"http://identifiers.org/hgnc/352","BM","AIF1"
"http://identifiers.org/hgnc/352","BM","IBA1"
"http://identifiers.org/hgnc/352","BM","allograft inflammatory factor 1"
"http://identifiers.org/hgnc/13253","BM","CKLF"
"http://identifiers.org/hgnc/9240","BM","PPBP"
"http://identifiers.org/hgnc/25588","BM","SLC47A1"
"http://identifiers.org/hgnc/24040","BM","ADIPOR1"
"http://identifiers.org/hgnc/26511","BM","HSPB6"
"http://identifiers.org/hgnc/19254","BM","PLAC8"
"http://identifiers.org/hgnc/130","BM","ACTA2"
"http://identifiers.org/hgnc/130","BM","aSMA"
"http://identifiers.org/hgnc/130","BM","Smooth Muscle Actin"
"http://identifiers.org/hgnc/130","BM","actin alpha 2, smooth muscle"
"http://identifiers.org/hgnc/130","BM","Smooth Actin Muscle"
"http://identifiers.org/hgnc/130","BM","Actin, smooth muscle"
"http://identifiers.org/hgnc/10725","BM","SEMA3C"
"http://identifiers.org/hgnc/12029","BM","TRAC"
"http://identifiers.org/hgnc/1694","BM","CD69"
"http://identifiers.org/hgnc/28495","BM","ZNF683"
"http://identifiers.org/hgnc/28495","BM","HOBIT"
"http://identifiers.org/hgnc/6147","BM","ITGAE"
"http://identifiers.org/hgnc/6147","BM","CD103"
"http://identifiers.org/hgnc/6147","BM","integrin subunit alpha E/CD103"
"http://identifiers.org/hgnc/9346","BM","PRDM1"
"http://identifiers.org/hgnc/9346","BM"," BLIMP1"
"http://identifiers.org/hgnc/1441","BM","caldesmon 1"
"http://identifiers.org/hgnc/1441","BM","Caldesmon"
"http://identifiers.org/hgnc/18266","BM","ATP6V0D2"
"http://identifiers.org/hgnc/26483","BM","glycosyltransferase 1 domain containing 1"
"http://identifiers.org/hgnc/30748","BM","TRHDE"
"http://identifiers.org/hgnc/1442","BM","CALM1"
"http://identifiers.org/hgnc/21184","BM","FNDC1"
"http://identifiers.org/hgnc/8993","BM","GCDFP-15"
"http://identifiers.org/hgnc/6839","BM","MAP-2"
"http://identifiers.org/hgnc/11506","BM","Synaptophysin"
"http://identifiers.org/hgnc/11506","BM","synaptophysin"
"http://identifiers.org/hgnc/1461","BM","CAMK2B"
"http://identifiers.org/hgnc/18254","BM","HES6"
"http://identifiers.org/hgnc/26735","BM","KIF19"
"http://identifiers.org/hgnc/6836","BM","MAP1B"
"http://identifiers.org/hgnc/7860","BM","NNAT"
"http://identifiers.org/hgnc/10672","BM","CXCL12"
"http://identifiers.org/hgnc/29109","BM","TESPA1"
"http://identifiers.org/hgnc/11599","BM","TBX21"
"http://identifiers.org/hgnc/11599","BM","T-box transcription factor 21"
"http://identifiers.org/hgnc/11599","BM","T-bet"
"http://identifiers.org/hgnc/1514","BM","CASR"
"http://identifiers.org/hgnc/13285","BM","FIGN"
"http://identifiers.org/hgnc/2663","BM","DACH1"
"http://identifiers.org/hgnc/8133","BM","OLR1"
"http://identifiers.org/hgnc/1753","BM","CDH13"
"http://identifiers.org/hgnc/20779","BM","NDST4"
"http://identifiers.org/hgnc/7001","BM","MEIS2"
"http://identifiers.org/hgnc/9446","BM","PRLR"
"http://identifiers.org/hgnc/11743","BM","TFAP2B"
"http://identifiers.org/hgnc/14222","BM","LHX9"
"http://identifiers.org/hgnc/1434","BM","CALB1"
"http://identifiers.org/hgnc/1434","BM","calbindin 1"
"http://identifiers.org/hgnc/6593","BM","LHX1"
"http://identifiers.org/hgnc/8138","BM","ONECUT1"
"http://identifiers.org/hgnc/8139","BM","ONECUT2"
