s_iri,relationship,t_iri
http://purl.obolibrary.org/obo/PCL_0015102,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015081,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015055,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015006,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015107,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015033,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015019,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015073,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015092,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015029,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015098,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015070,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015093,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015103,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015036,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015121,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015015,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015077,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015059,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015028,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015046,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015031,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015097,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015051,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015069,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015057,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015042,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015056,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015117,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015091,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015068,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015074,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015115,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015087,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015106,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015071,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015001,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015002,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015034,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015096,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015072,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015125,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015038,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015118,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015020,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015032,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015022,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015041,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015124,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015027,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015119,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015079,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015108,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015123,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015058,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015104,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015080,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015008,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015111,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015113,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015126,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015007,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015021,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015023,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015016,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015045,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015109,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015011,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015039,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015084,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015060,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
http://purl.obolibrary.org/obo/PCL_0015066,located_in,http://purl.obolibrary.org/obo/UBERON_0001384
