identifier,organ,ct
grid.16821.3c,breast,19
grid.8379.5,heart,2
grid.482675.a,breast,1
grid.38142.3c,eye,4
grid.411675.0,breast,2
grid.444681.b,embryo,1
grid.31501.36,brain,12
grid.477730.0,kidney,4
grid.413106.1,liver,3
grid.412377.4,ureter,1
grid.50956.3f,kidney,1
grid.13349.3c,Skeletal,3
grid.412117.0,skin,1
grid.418982.e,adipose,2
grid.460200.0,Skeletal,1
grid.154185.c,breast,2
grid.410814.8,prostate,8
grid.411939.7,kidney,3
grid.459916.6,ovary,2
grid.256642.1,prostate,8
grid.411150.0,heart,2
grid.239585.0,kidney,1
grid.1003.2,embryo,4
grid.259384.1,lung,1
grid.15444.30,eye,2
grid.263171.0,knee,3
grid.411894.1,kidney,1
grid.411545.0,liver,8
grid.412331.6,embryo,8
grid.12574.35,kidney,1
grid.32224.35,Skeletal,7
grid.472704.2,breast,1
grid.410871.b,lymph node,6
grid.10438.3e,kidney,1
grid.10772.33,heart,2
grid.412004.3,lung,5
grid.412811.f,lung,3
grid.473290.b,lung,1
grid.415887.7,ureter,3
grid.20515.33,breast,14
grid.418386.0,skin,1
grid.7943.9,lung,1
grid.4830.f,brain,3
grid.444471.6,Skeletal,1
grid.440144.1,eye,1
grid.411410.1,breast,8
grid.240952.8,heart,9
grid.412951.a,fetus,1
grid.10493.3f,lung,1
grid.411746.1,Tonsil,1
grid.429648.5,brain,7
grid.266128.9,breast,1
grid.415836.d,eye,1
grid.26790.3a,kidney,5
grid.411725.4,brain,2
grid.261674.0,lung,1
grid.1623.6,knee,1
grid.427788.6,knee,13
grid.452511.6,kidney,16
grid.440710.6,knee,2
grid.410737.6,lung,1
grid.410473.5,lung,1
grid.5337.2,eye,3
grid.417032.3,heart,4
grid.241167.7,liver,2
grid.413219.c,lung,1
grid.249967.7,skin,1
grid.12527.33,knee,3
grid.189509.c,prostate,2
grid.414775.4,ureter,8
grid.5924.a,liver,11
grid.137628.9,breast,14
grid.5650.6,knee,1
grid.414537.0,heart,1
grid.239424.a,lung,4
grid.5771.4,Skeletal,1
grid.412262.1,breast,1
grid.413354.4,lung,1
grid.444343.0,lung,2
grid.415985.4,knee,1
grid.465547.1,lung,7
grid.212340.6,liver,1
grid.411832.d,Skeletal,1
grid.240324.3,kidney,1
grid.411746.1,brain,2
grid.444525.6,kidney,2
grid.411088.4,lung,6
grid.69566.3a,breast,13
grid.7727.5,lung,5
grid.414468.b,prostate,3
grid.465051.3,prostate,1
grid.412750.5,breast,1
grid.411097.a,breast,6
grid.10419.3d,liver,6
grid.15876.3d,brain,1
grid.19003.3b,brain,4
grid.17063.33,bone marrow,9
grid.411320.5,brain,4
grid.420086.8,breast,10
grid.476307.1,heart,3
grid.22935.3f,embryo,14
grid.416098.2,breast,1
grid.419993.f,eye,2
grid.411389.6,Skeletal,7
grid.253294.b,breast,14
grid.267207.6,liver,1
grid.414375.0,liver,22
grid.263171.0,liver,4
grid.412413.1,lymph node,1
grid.488433.0,prostate,1
grid.419234.9,eye,4
grid.32224.35,embryo,1
grid.412867.e,brain,9
grid.10347.31,adipose,1
grid.7872.a,breast,2
grid.415783.c,Skeletal,1
grid.22937.3d,bone marrow,3
grid.491624.c,lung,1
grid.116068.8,kidney,4
grid.415552.2,lymph node,2
grid.412108.e,eye,1
grid.412796.f,prostate,2
grid.411598.0,skin,7
grid.253294.b,lung,12
grid.268415.c,thymus,1
grid.194645.b,brain,1
grid.6852.9,brain,1
grid.438526.e,kidney,1
grid.134907.8,knee,1
grid.433548.d,breast,5
grid.261445.0,breast,12
grid.440786.9,heart,3
grid.134563.6,lung,1
grid.19373.3f,liver,2
grid.413385.8,breast,8
grid.469474.c,prostate,14
grid.410585.d,lung,7
grid.482157.d,breast,1
grid.17088.36,lung,17
grid.412017.1,lung,3
grid.417768.b,liver,3
grid.415954.8,lung,1
grid.412573.6,lung,1
grid.410622.3,breast,1
grid.266539.d,breast,2
grid.5640.7,breast,1
grid.260542.7,lung,1
grid.39382.33,breast,39
grid.412281.c,breast,5
grid.412942.8,breast,1
grid.411117.3,liver,2
grid.414685.a,skin,3
grid.459746.d,bone marrow,6
grid.462478.b,adipose,1
grid.267500.6,lung,13
grid.88832.39,heart,1
grid.5386.8,embryo,1
grid.411705.6,brain,18
grid.5475.3,prostate,6
grid.444354.6,adipose,1
grid.8547.e,brain,18
grid.410871.b,breast,11
grid.411942.b,brain,1
grid.411793.9,skin,3
grid.412122.6,liver,2
grid.411081.d,breast,10
grid.413448.e,heart,3
grid.25627.34,knee,1
grid.5288.7,lung,1
grid.413640.4,brain,1
grid.412615.5,liver,11
grid.7048.b,prostate,7
grid.413151.3,heart,2
grid.414927.d,kidney,15
grid.497282.2,prostate,5
grid.6936.a,prostate,1
grid.24516.34,lung,10
grid.45907.3f,liver,1
grid.416256.2,spleen,7
grid.257413.6,lymph node,1
grid.449005.c,breast,1
grid.9018.0,knee,4
grid.452586.8,liver,3
grid.22069.3f,brain,8
grid.412444.3,bone marrow,5
grid.473542.3,brain,4
grid.454770.5,thymus,4
grid.412888.f,breast,7
grid.427832.8,lymph node,16
grid.416870.c,liver,1
grid.460947.8,skin,5
grid.452708.c,brain,3
grid.7776.1,skin,4
grid.6363.0,knee,1
grid.7597.c,heart,2
grid.4991.5,brain,20
grid.55325.34,liver,1
grid.255169.c,prostate,1
grid.263618.8,lung,1
grid.9227.e,brain,8
grid.7737.4,liver,17
grid.412187.9,adipose,1
grid.429705.d,prostate,1
grid.46699.34,liver,1
grid.418065.e,Skeletal,8
grid.413104.3,bone marrow,1
grid.414980.0,breast,13
grid.28056.39,brain,17
grid.413757.3,eye,3
grid.416100.2,breast,3
grid.8570.a,heart,2
grid.433743.4,lung,2
grid.4912.e,embryo,2
grid.7637.5,bone marrow,3
grid.7048.b,liver,7
grid.490409.0,lung,2
grid.412651.5,ovary,2
grid.467228.d,liver,5
grid.412871.9,brain,1
grid.39381.30,prostate,1
grid.443984.6,lymph node,1
grid.9122.8,eye,1
grid.417401.7,lung,7
grid.414889.8,prostate,1
grid.120073.7,kidney,1
grid.410983.7,kidney,1
grid.412027.2,prostate,2
grid.239915.5,heart,5
grid.412890.6,skin,1
grid.421953.8,liver,1
grid.411463.5,skin,2
grid.415642.0,heart,1
grid.488756.0,heart,8
grid.216417.7,breast,12
grid.224260.0,breast,3
grid.10267.32,heart,1
grid.25879.31,embryo,7
grid.415328.9,liver,10
grid.10423.34,heart,2
grid.416052.4,lung,1
grid.443735.2,kidney,2
grid.288127.6,embryo,4
grid.452622.5,adipose,1
grid.83440.3b,brain,4
grid.10328.38,lung,2
grid.11899.38,Skeletal,5
grid.457350.0,liver,4
grid.6582.9,eye,1
grid.32566.34,liver,1
grid.410736.7,lymph node,6
grid.419773.f,breast,2
grid.459742.9,breast,3
grid.1012.2,heart,3
grid.11450.31,skin,6
grid.414818.0,skin,1
grid.5252.0,breast,2
grid.6292.f,breast,6
grid.5253.1,breast,1
grid.416386.e,eye,2
grid.27755.32,pancreas,1
grid.22448.38,breast,3
grid.280930.0,lung,1
grid.265892.2,brain,1
grid.411049.9,fetus,8
grid.440550.0,lymph node,1
grid.417898.b,liver,1
grid.256112.3,lung,12
grid.419841.1,liver,2
grid.452206.7,breast,4
grid.21107.35,breast,53
grid.176731.5,eye,1
grid.412615.5,lymph node,9
grid.452396.f,heart,3
grid.446088.6,heart,3
grid.23856.3a,breast,5
grid.417397.f,breast,4
grid.411309.e,kidney,2
grid.10919.30,liver,3
grid.5734.5,lung,8
grid.476137.0,lung,3
grid.251976.e,skin,9
grid.1008.9,breast,49
grid.412258.8,brain,12
grid.136304.3,brain,6
grid.24999.3f,heart,1
grid.452582.c,breast,2
grid.452672.0,bone marrow,1
grid.410427.4,breast,1
grid.410827.8,bone marrow,3
grid.163577.1,pancreas,13
grid.416301.1,lung,2
grid.411403.3,breast,3
grid.510951.9,brain,1
grid.66951.3d,liver,1
grid.6530.0,embryo,10
grid.419353.9,lymph node,1
grid.413615.4,liver,1
grid.260120.7,heart,2
grid.4691.a,prostate,1
grid.136593.b,lung,13
grid.254229.a,embryo,9
grid.8652.9,kidney,4
grid.438526.e,embryo,6
grid.266623.5,lung,10
grid.413420.0,liver,1
grid.13291.38,breast,2
grid.194645.b,eye,2
grid.34477.33,breast,6
grid.26790.3a,breast,1
grid.185648.6,breast,3
grid.430140.2,heart,2
grid.63984.30,breast,3
grid.11586.3b,thymus,3
grid.9647.c,lung,1
grid.26091.3c,liver,7
grid.10419.3d,brain,1
grid.410821.e,spinal cord,2
grid.5117.2,kidney,1
grid.13402.34,spinal cord,11
grid.444541.4,knee,2
grid.15276.37,prostate,1
grid.449549.1,pancreas,1
grid.26091.3c,embryo,8
grid.410638.8,kidney,1
grid.22935.3f,adipose,10
grid.412645.0,liver,8
grid.411403.3,ureter,1
grid.416030.0,brain,4
grid.7886.1,lung,4
grid.10698.36,liver,8
grid.410885.0,liver,3
grid.411427.5,Skeletal,12
grid.412686.f,breast,2
grid.217309.e,brain,1
grid.1029.a,liver,5
grid.411746.1,lung,14
grid.257022.0,adipose,3
grid.4714.6,prostate,5
grid.4494.d,heart,1
grid.7841.a,peripheral nervous system,3
grid.411418.9,breast,2
grid.267047.0,liver,2
grid.411237.2,heart,1
grid.411639.8,placenta,3
grid.452399.0,bone marrow,2
grid.413219.c,placenta,3
grid.465358.9,embryo,7
grid.433735.5,lung,1
grid.419034.b,heart,1
grid.11450.31,embryo,5
grid.413387.a,breast,1
grid.411275.4,brain,1
grid.411394.a,lung,2
grid.410367.7,liver,1
grid.239560.b,adipose,7
grid.440299.2,lung,2
grid.38142.3c,breast,39
grid.419543.e,brain,1
grid.414357.0,lymph node,9
grid.27255.37,eye,1
grid.412094.a,breast,1
grid.411702.1,knee,5
grid.5510.1,Skeletal,8
grid.190737.b,skin,6
grid.19477.3c,liver,4
grid.7491.b,breast,1
grid.17063.33,brain,12
grid.413017.0,uterus,3
grid.452252.6,brain,1
grid.419563.c,breast,7
grid.464481.b,spleen,5
grid.7080.f,Skeletal,4
grid.444467.1,lung,1
grid.15276.37,uterus,1
grid.417972.e,liver,2
grid.415772.2,skin,3
grid.411982.7,brain,1
grid.451052.7,lung,1
grid.411583.a,brain,1
grid.8271.c,breast,5
grid.411507.6,lung,3
grid.64924.3d,liver,1
grid.412036.2,lung,3
grid.15444.30,uterus,5
grid.213917.f,embryo,4
grid.258164.c,liver,6
grid.416189.3,pelvis,6
grid.416888.b,placenta,12
grid.412588.2,lung,3
grid.413972.a,breast,8
grid.411152.2,brain,1
grid.34429.38,breast,2
grid.412989.f,breast,1
grid.411746.1,heart,5
grid.412558.f,lung,5
grid.413993.5,lung,4
grid.449569.3,lung,1
grid.251916.8,ovary,1
grid.12641.30,brain,1
grid.512925.8,liver,4
grid.465548.e,uterus,5
grid.413103.4,kidney,1
grid.427832.8,prostate,7
grid.416509.f,Tonsil,1
grid.258164.c,prostate,1
grid.413812.d,lung,2
grid.496644.d,skin,2
grid.468130.8,brain,1
grid.464875.c,heart,5
