pmid|biotype|identifier_type
22055568|molecular interactions|pmid
doi:10.1101/2021.11.14.468537|molecular interactions|
"27708164|imex:IM-26134"|molecular interactions|pmid
22389628|molecular interactions|pmid
10747088|molecular interactions|pmid
23936004|disease|pmid
"24211445|imex:IM-21714"|molecular interactions|pmid
26279756|disease|pmid
25714412|molecular interactions|pmid
"16835300|doi:10.1073/pnas.0602427103|imex:IM-23766"|molecular interactions|pmid
"17088250|imex:IM-19050"|molecular interactions|pmid
9003788|molecular interactions|pmid
23246699|disease|pmid
20663873|molecular interactions|pmid
22114731|disease|pmid
23895345|molecular interactions|pmid
31711559|disease|pmid
21572392|molecular interactions|pmid
22052167|disease|pmid
8651291|disease|pmid
25996949|molecular interactions|pmid
10574931|molecular interactions|pmid
"30845169|imex:IM-27065"|molecular interactions|pmid
20650298|disease|pmid
"18959745|mint:MINT-7215648"|molecular interactions|pmid
20100872|molecular interactions|pmid
"20951943|imex:IM-15272"|molecular interactions|pmid
15623792|disease|pmid
29706618|molecular interactions|pmid
21254355|disease|pmid
29534310|disease|pmid
21757867|disease|pmid
9822598|molecular interactions|pmid
9388192|molecular interactions|pmid
"34478710|imex:IM-29217"|molecular interactions|pmid
28539385|molecular interactions|pmid
16260783|molecular interactions|pmid
15355958|molecular interactions|pmid
11689207|disease|pmid
22152474|molecular interactions|pmid
11983687|molecular interactions|pmid
10684855|molecular interactions|pmid
1526740|disease|pmid
25483061|molecular interactions|pmid
27338800|disease|pmid
15069201|molecular interactions|pmid
"26779610|doi:10.1038/nsmb.3161|imex:IM-25390"|molecular interactions|pmid
15299005|molecular interactions|pmid
20351172|molecular interactions|pmid
22737271|disease|pmid
22116549|molecular interactions|pmid
24519039|disease|pmid
10521394|molecular interactions|pmid
27477512|molecular interactions|pmid
11581164|molecular interactions|pmid
11831984|disease|pmid
21933857|disease|pmid
20501649|molecular interactions|pmid
14724280|molecular interactions|pmid
"imex:IM-12061|18585357"|molecular interactions|
16423881|molecular interactions|pmid
29791485|molecular interactions|pmid
29360461|molecular interactions|pmid
17332776|molecular interactions|pmid
8723226|disease|pmid
11001903|disease|pmid
"imex:IM-22114|18313787"|molecular interactions|
9062353|disease|pmid
15716706|disease|pmid
20581830|molecular interactions|pmid
21103413|disease|pmid
21411625|molecular interactions|pmid
9724636|molecular interactions|pmid
12616631|molecular interactions|pmid
10980696|molecular interactions|pmid
28650473|molecular interactions|pmid
20130058|molecular interactions|pmid
35037691|molecular interactions|pmid
7994806|disease|pmid
12149646|molecular interactions|pmid
15044591|molecular interactions|pmid
8473339|molecular interactions|pmid
20957035|molecular interactions|pmid
19464198|molecular interactions|pmid
23460043|disease|pmid
32690611|molecular interactions|pmid
7748224|disease|pmid
11903058|molecular interactions|pmid
10508170|molecular interactions|pmid
16222657|disease|pmid
32564010|molecular interactions|pmid
11159941|disease|pmid
9786957|molecular interactions|pmid
"imex:IM-13599|20144759"|molecular interactions|
24859015|molecular interactions|pmid
9285683|molecular interactions|pmid
16051151|molecular interactions|pmid
15855159|molecular interactions|pmid
10966616|molecular interactions|pmid
25944111|molecular interactions|pmid
16750996|disease|pmid
"16469704|imex:IM-11834"|molecular interactions|pmid
11040018|disease|pmid
8999876|molecular interactions|pmid
"23761911|imex:IM-21670"|molecular interactions|pmid
15465819|molecular interactions|pmid
"7644499|mint:MINT-8216426|doi:10.1073/pnas.92.17.7824"|molecular interactions|pmid
10199400|molecular interactions|pmid
22982934|disease|pmid
8798655|molecular interactions|pmid
28546513|molecular interactions|pmid
"17347647|imex:IM-13992|mint:MINT-5219736"|molecular interactions|pmid
24035716|disease|pmid
20951680|molecular interactions|pmid
23447517|disease|pmid
15449376|disease|pmid
8836150|molecular interactions|pmid
9001427|disease|pmid
18162470|molecular interactions|pmid
28693442|disease|pmid
21930703|molecular interactions|pmid
27637333|molecular interactions|pmid
31085721|disease|pmid
24704289|disease|pmid
32911434|molecular interactions|pmid
10748023|molecular interactions|pmid
15104219|disease|pmid
9809062|molecular interactions|pmid
16720581|molecular interactions|pmid
16112176|disease|pmid
11956080|disease|pmid
9973622|molecular interactions|pmid
21680743|molecular interactions|pmid
28292943|molecular interactions|pmid
9353299|molecular interactions|pmid
11598134|molecular interactions|pmid
"26382858|imex:IM-26480"|molecular interactions|pmid
23756651|molecular interactions|pmid
11567040|molecular interactions|pmid
21145542|disease|pmid
18703154|molecular interactions|pmid
9245787|molecular interactions|pmid
21767636|molecular interactions|pmid
15644415|molecular interactions|pmid
12737817|molecular interactions|pmid
14596426|disease|pmid
"19028685|imex:IM-23556"|molecular interactions|pmid
34546211|molecular interactions|pmid
"12122014|mint:MINT-6731453"|molecular interactions|pmid
8939990|molecular interactions|pmid
11301005|molecular interactions|pmid
26318046|molecular interactions|pmid
8387545|disease|pmid
18493301|molecular interactions|pmid
23336202|disease|pmid
25294835|molecular interactions|pmid
33277610|molecular interactions|pmid
3350007|molecular interactions|pmid
17595526|molecular interactions|pmid
15805147|disease|pmid
20729859|molecular interactions|pmid
16893710|disease|pmid
25477028|disease|pmid
27071318|disease|pmid
12732634|molecular interactions|pmid
22901214|disease|pmid
17950035|disease|pmid
19633697|molecular interactions|pmid
10842709|molecular interactions|pmid
32573437|molecular interactions|pmid
24479926|disease|pmid
11433299|molecular interactions|pmid
16096645|molecular interactions|pmid
8640738|disease|pmid
8041779|molecular interactions|pmid
11278757|molecular interactions|pmid
20547759|molecular interactions|pmid
14990566|molecular interactions|pmid
9539746|molecular interactions|pmid
9631454|disease|pmid
"17301240|doi:10.1073/pnas.0608393104|imex:IM-22748"|molecular interactions|pmid
20876121|molecular interactions|pmid
16945434|molecular interactions|pmid
15225548|molecular interactions|pmid
15333482|disease|pmid
9497385|molecular interactions|pmid
15192806|disease|pmid
10866685|molecular interactions|pmid
"16462746|doi:10.1038/nsmb1064|imex:IM-8363"|molecular interactions|pmid
12471062|disease|pmid
8663154|molecular interactions|pmid
"19071119|imex:IM-9569|mint:MINT-6802010|mint:d-08-01641|doi:10.1016/j.febslet.2008.11.044"|molecular interactions|pmid
18030348|molecular interactions|pmid
17302414|molecular interactions|pmid
16474402|molecular interactions|pmid
31631027|molecular interactions|pmid
"imex:IM-25041|17500065"|molecular interactions|
24684492|disease|pmid
10858458|molecular interactions|pmid
"21729698|mint:MINT-8189134|doi:10.1016/j.febslet.2011.06.029"|molecular interactions|pmid
21930948|molecular interactions|pmid
21179005|disease|pmid
22260630|molecular interactions|pmid
24320988|disease|pmid
2777757|molecular interactions|pmid
22110127|molecular interactions|pmid
24065703|molecular interactions|pmid
31501480|molecular interactions|pmid
15590691|molecular interactions|pmid
"mint:MINT-8417339|mint:fj-13-0129|23551356"|molecular interactions|
12373296|disease|pmid
"imex:IM-28729|33372174"|molecular interactions|
12909588|molecular interactions|pmid
29180619|molecular interactions|pmid
17220478|molecular interactions|pmid
1918147|molecular interactions|pmid
23107469|disease|pmid
14705112|disease|pmid
12522212|molecular interactions|pmid
12408824|molecular interactions|pmid
16581404|disease|pmid
10405182|molecular interactions|pmid
19197140|disease|pmid
20127014|disease|pmid
17936701|molecular interactions|pmid
23761444|molecular interactions|pmid
12712358|disease|pmid
"imex:IM-27679|30015847"|molecular interactions|
21668587|molecular interactions|pmid
23952647|disease|pmid
21976959|disease|pmid
24020926|molecular interactions|pmid
"29190778|imex:IM-28602"|molecular interactions|pmid
"22952718|imex:IM-23332"|molecular interactions|pmid
12032545|molecular interactions|pmid
9455944|disease|pmid
17267499|molecular interactions|pmid
19298757|disease|pmid
30446597|molecular interactions|pmid
21057544|molecular interactions|pmid
21888025|disease|pmid
20930430|disease|pmid
15970796|disease|pmid
21691937|disease|pmid
11438699|molecular interactions|pmid
16844118|molecular interactions|pmid
"16415788|imex:IM-11043|mint:MINT-5218238"|molecular interactions|pmid
35027730|molecular interactions|pmid
21556780|disease|pmid
15012912|disease|pmid
31404116|molecular interactions|pmid
21102408|molecular interactions|pmid
11368773|molecular interactions|pmid
16415179|molecular interactions|pmid
12482924|molecular interactions|pmid
"mint:MINT-8144484|21414141|imex:IM-16701|mint:fj-10-1134"|molecular interactions|
15351195|disease|pmid
8910285|molecular interactions|pmid
25375657|disease|pmid
25305489|molecular interactions|pmid
18931444|molecular interactions|pmid
18235022|disease|pmid
12093792|molecular interactions|pmid
18452175|disease|pmid
21383010|molecular interactions|pmid
16005252|disease|pmid
33024031|molecular interactions|pmid
19428376|disease|pmid
10652271|molecular interactions|pmid
9207251|molecular interactions|pmid
15689453|disease|pmid
"15581361|mint:MINT-5217377"|molecular interactions|pmid
34841716|molecular interactions|pmid
19745809|molecular interactions|pmid
16337205|disease|pmid
20889885|disease|pmid
doi:10.1101/2021.07.14.452313|molecular interactions|
14500680|molecular interactions|pmid
31264381|disease|pmid
16199882|molecular interactions|pmid
22834951|disease|pmid
"imex:IM-29058|33602864"|molecular interactions|
18482987|molecular interactions|pmid
35165513|molecular interactions|pmid
11031342|disease|pmid
10837480|molecular interactions|pmid
16216881|molecular interactions|pmid
17872527|disease|pmid
11084340|molecular interactions|pmid
17414626|disease|pmid
12551948|molecular interactions|pmid
17322308|molecular interactions|pmid
25085622|molecular interactions|pmid
21189257|molecular interactions|pmid
19342235|disease|pmid
14716741|disease|pmid
24586659|molecular interactions|pmid
16675956|molecular interactions|pmid
11903046|molecular interactions|pmid
15970276|molecular interactions|pmid
18418385|molecular interactions|pmid
20164024|disease|pmid
"21880142|imex:IM-17194"|molecular interactions|pmid
"imex:IM-14435|16301319"|molecular interactions|
23986494|molecular interactions|pmid
11473255|molecular interactions|pmid
16496379|disease|pmid
29176576|molecular interactions|pmid
12604794|molecular interactions|pmid
18758826|disease|pmid
18000605|disease|pmid
"imex:IM-22570|24792722"|molecular interactions|
"22296769|imex:IM-20969"|molecular interactions|pmid
22396592|molecular interactions|pmid
24012004|molecular interactions|pmid
25823024|molecular interactions|pmid
25161877|molecular interactions|pmid
17441336|disease|pmid
9278443|molecular interactions|pmid
"17082767|imex:IM-10877|mint:MINT-5219290"|molecular interactions|pmid
16623664|molecular interactions|pmid
16611863|molecular interactions|pmid
22607047|disease|pmid
12364621|molecular interactions|pmid
22009745|molecular interactions|pmid
22568654|disease|pmid
11819209|disease|pmid
9176084|disease|pmid
21139563|molecular interactions|pmid
25049393|molecular interactions|pmid
19945424|molecular interactions|pmid
17293600|molecular interactions|pmid
18371060|disease|pmid
"imex:IM-22985|24835590"|molecular interactions|
19584092|molecular interactions|pmid
17878339|molecular interactions|pmid
32585100|molecular interactions|pmid
25361009|molecular interactions|pmid
15337770|molecular interactions|pmid
10666337|molecular interactions|pmid
12975417|disease|pmid
17465220|disease|pmid
32901881|molecular interactions|pmid
9617486|molecular interactions|pmid
1346931|molecular interactions|pmid
12482947|molecular interactions|pmid
18329725|disease|pmid
28583475|molecular interactions|pmid
12198243|molecular interactions|pmid
24758241|disease|pmid
32966780|molecular interactions|pmid
"20223216|doi:10.1016/j.str.2010.01.003|imex:IM-15909"|molecular interactions|pmid
15269835|disease|pmid
22914212|disease|pmid
20609134|disease|pmid
17210713|molecular interactions|pmid
21270109|disease|pmid
2189303|disease|pmid
11774117|disease|pmid
18054791|molecular interactions|pmid
16216273|molecular interactions|pmid
24207125|molecular interactions|pmid
33157086|molecular interactions|pmid
16696976|molecular interactions|pmid
29255244|molecular interactions|pmid
14965443|disease|pmid
15963499|molecular interactions|pmid
9384384|molecular interactions|pmid
19591933|molecular interactions|pmid
34052527|molecular interactions|pmid
19528490|molecular interactions|pmid
16508335|disease|pmid
11944898|molecular interactions|pmid
"mint:MINT-5216147|12595070"|molecular interactions|
15186775|molecular interactions|pmid
19242659|disease|pmid
11959977|molecular interactions|pmid
20811626|disease|pmid
26933062|molecular interactions|pmid
"9463381|imex:IM-29529"|molecular interactions|pmid
11278462|molecular interactions|pmid
14993265|molecular interactions|pmid
28413645|disease|pmid
16813562|molecular interactions|pmid
8182064|molecular interactions|pmid
19782076|molecular interactions|pmid
16888629|molecular interactions|pmid
14962978|molecular interactions|pmid
19177252|disease|pmid
17680780|molecular interactions|pmid
23865999|molecular interactions|pmid
18815192|disease|pmid
18039846|molecular interactions|pmid
"19351902|doi:10.1073/pnas.0810599106|imex:IM-14709"|molecular interactions|pmid
7929214|molecular interactions|pmid
30741926|molecular interactions|pmid
"10929712|mint:MINT-5212852"|molecular interactions|pmid
14976184|molecular interactions|pmid
22387026|molecular interactions|pmid
23510544|disease|pmid
16887178|molecular interactions|pmid
16763620|molecular interactions|pmid
20699256|disease|pmid
18596081|molecular interactions|pmid
7876550|disease|pmid
9211925|molecular interactions|pmid
"mint:MINT-8007558|16822840|doi:10.1091/mbc.E06-05-0470"|molecular interactions|
25144556|molecular interactions|pmid
33620036|molecular interactions|pmid
16600179|molecular interactions|pmid
15568807|molecular interactions|pmid
15800615|molecular interactions|pmid
15358862|disease|pmid
10809762|molecular interactions|pmid
26801988|molecular interactions|pmid
22064484|molecular interactions|pmid
15223607|disease|pmid
22535953|molecular interactions|pmid
23145131|molecular interactions|pmid
10502722|disease|pmid
10891493|molecular interactions|pmid
11351297|molecular interactions|pmid
22116092|disease|pmid
12600989|molecular interactions|pmid
21537609|disease|pmid
"imex:IM-29418|34341191"|molecular interactions|
12816949|molecular interactions|pmid
12135674|molecular interactions|pmid
16333836|disease|pmid
16783169|disease|pmid
34117220|molecular interactions|pmid
21868449|molecular interactions|pmid
26980022|disease|pmid
9140397|disease|pmid
28973861|molecular interactions|pmid
10353251|molecular interactions|pmid
27795392|molecular interactions|pmid
25152161|molecular interactions|pmid
9734358|molecular interactions|pmid
"12225753|mint:MINT-6731495"|molecular interactions|pmid
10601358|molecular interactions|pmid
24728990|molecular interactions|pmid
16867977|molecular interactions|pmid
"17045265|imex:IM-11447|mint:MINT-5219226"|molecular interactions|pmid
12372621|molecular interactions|pmid
"33727702|imex:IM-28823"|molecular interactions|pmid
32731169|molecular interactions|pmid
16982896|molecular interactions|pmid
25544771|disease|pmid
8695851|molecular interactions|pmid
19460251|disease|pmid
12803489|molecular interactions|pmid
8647206|disease|pmid
11518802|molecular interactions|pmid
"20856203|imex:IM-15782"|molecular interactions|pmid
32696179|molecular interactions|pmid
14517304|molecular interactions|pmid
23038988|disease|pmid
9089416|molecular interactions|pmid
9228079|molecular interactions|pmid
18629613|molecular interactions|pmid
30099220|disease|pmid
20697033|disease|pmid
17077128|disease|pmid
"imex:IM-26439|19755138"|molecular interactions|
"11342545|mint:MINT-5213996"|molecular interactions|pmid
10353821|molecular interactions|pmid
11935318|disease|pmid
10570266|molecular interactions|pmid
10559562|disease|pmid
11353765|molecular interactions|pmid
26866375|molecular interactions|pmid
16244591|disease|pmid
12958311|molecular interactions|pmid
17535988|disease|pmid
20864405|disease|pmid
"imex:IM-23168|21719704"|molecular interactions|
23761023|disease|pmid
15047635|disease|pmid
24211834|molecular interactions|pmid
"25448675|imex:IM-24273"|molecular interactions|pmid
22775483|disease|pmid
9792673|molecular interactions|pmid
"19409388|mint:MINT-7033474|mint:d-09-00298|doi:10.1016/j.febslet.2009.04.036"|molecular interactions|pmid
23289634|disease|pmid
15734732|molecular interactions|pmid
17511582|disease|pmid
22777350|molecular interactions|pmid
16919458|molecular interactions|pmid
24621507|molecular interactions|pmid
7629144|molecular interactions|pmid
22467880|molecular interactions|pmid
14739420|disease|pmid
23301222|disease|pmid
22022389|molecular interactions|pmid
17401513|disease|pmid
21775285|molecular interactions|pmid
9038356|molecular interactions|pmid
15038404|disease|pmid
16771730|disease|pmid
19811272|disease|pmid
27153538|molecular interactions|pmid
"imex:IM-27561|18809683"|molecular interactions|
18500350|molecular interactions|pmid
12239153|molecular interactions|pmid
15215856|molecular interactions|pmid
20142534|disease|pmid
10903890|molecular interactions|pmid
17967866|molecular interactions|pmid
22935713|molecular interactions|pmid
18174154|molecular interactions|pmid
17567543|molecular interactions|pmid
22788847|disease|pmid
21029361|disease|pmid
26466095|molecular interactions|pmid
"20023641|doi:10.1038/nsmb.1721|imex:IM-14675"|molecular interactions|pmid
22210567|disease|pmid
9238069|molecular interactions|pmid
10655483|molecular interactions|pmid
20865150|molecular interactions|pmid
8636150|molecular interactions|pmid
8246997|molecular interactions|pmid
22427156|disease|pmid
21797823|molecular interactions|pmid
8542113|disease|pmid
24963029|molecular interactions|pmid
28373767|disease|pmid
9990010|molecular interactions|pmid
15147973|molecular interactions|pmid
15067004|molecular interactions|pmid
27176139|disease|pmid
16278218|molecular interactions|pmid
18717574|molecular interactions|pmid
17143550|disease|pmid
17067754|disease|pmid
12569093|molecular interactions|pmid
"21057110|doi:10.1073/pnas.1009008107|imex:IM-17134"|molecular interactions|pmid
9169477|molecular interactions|pmid
17982230|disease|pmid
12804766|molecular interactions|pmid
33767425|molecular interactions|pmid
"16384638|imex:IM-19302"|molecular interactions|pmid
10220582|molecular interactions|pmid
14764580|molecular interactions|pmid
14732874|molecular interactions|pmid
19380588|molecular interactions|pmid
doi:10.1101/2022.04.07.487528|molecular interactions|
12489984|molecular interactions|pmid
26769849|molecular interactions|pmid
doi:10.1101/2022.02.12.480188|molecular interactions|
32904724|molecular interactions|pmid
29995846|molecular interactions|pmid
23727018|molecular interactions|pmid
11546814|molecular interactions|pmid
10681541|molecular interactions|pmid
7539672|disease|pmid
27693506|molecular interactions|pmid
16418535|molecular interactions|pmid
16824735|molecular interactions|pmid
22081970|molecular interactions|pmid
10690526|disease|pmid
18753381|molecular interactions|pmid
"24459295|imex:IM-22235"|molecular interactions|pmid
34431042|molecular interactions|pmid
7606002|molecular interactions|pmid
15235874|disease|pmid
19156909|molecular interactions|pmid
23891004|molecular interactions|pmid
19217413|molecular interactions|pmid
32728610|molecular interactions|pmid
34499862|molecular interactions|pmid
19277704|disease|pmid
"26267536|imex:IM-24965"|molecular interactions|pmid
20599619|molecular interactions|pmid
28389511|molecular interactions|pmid
11460167|molecular interactions|pmid
19013462|disease|pmid
11909970|molecular interactions|pmid
15232742|disease|pmid
"imex:IM-25055|26859459"|molecular interactions|
12522251|disease|pmid
22403003|disease|pmid
34436957|molecular interactions|pmid
21067287|disease|pmid
18331410|disease|pmid
27566080|disease|pmid
24204805|disease|pmid
18813126|disease|pmid
22133274|disease|pmid
"18218625|imex:IM-18790"|molecular interactions|pmid
16095049|disease|pmid
28835545|molecular interactions|pmid
"11557048|mint:MINT-5214541"|molecular interactions|pmid
9029028|disease|pmid
18550537|molecular interactions|pmid
25088585|molecular interactions|pmid
24521996|disease|pmid
"20739937|doi:10.1038/nature09323|imex:IM-16286"|molecular interactions|pmid
25686248|molecular interactions|pmid
11774269|disease|pmid
12214271|molecular interactions|pmid
35356984|molecular interactions|pmid
"imex:IM-21065|21203579|doi:10.1371/journal.pbio.1000563"|molecular interactions|
34785643|molecular interactions|pmid
27213482|molecular interactions|pmid
11121408|molecular interactions|pmid
19670414|disease|pmid
34856418|molecular interactions|pmid
26775640|molecular interactions|pmid
18061666|disease|pmid
18184924|disease|pmid
30109811|molecular interactions|pmid
24721577|molecular interactions|pmid
21410593|disease|pmid
15666389|disease|pmid
12103254|disease|pmid
25386878|disease|pmid
9233798|molecular interactions|pmid
9341124|molecular interactions|pmid
15536641|molecular interactions|pmid
19477270|molecular interactions|pmid
11861827|disease|pmid
31727877|molecular interactions|pmid
16752173|disease|pmid
20937768|molecular interactions|pmid
31932471|molecular interactions|pmid
32060423|molecular interactions|pmid
8601310|molecular interactions|pmid
1311092|molecular interactions|pmid
28392346|molecular interactions|pmid
10514107|disease|pmid
15260972|molecular interactions|pmid
23740230|disease|pmid
8999968|molecular interactions|pmid
30606768|molecular interactions|pmid
15951972|disease|pmid
17563717|disease|pmid
21940793|molecular interactions|pmid
21652635|molecular interactions|pmid
11226410|molecular interactions|pmid
17964296|molecular interactions|pmid
10843682|molecular interactions|pmid
10850706|molecular interactions|pmid
18316612|molecular interactions|pmid
12736868|disease|pmid
15548568|molecular interactions|pmid
10786636|molecular interactions|pmid
"15688026|mint:MINT-5217506"|molecular interactions|pmid
12618338|disease|pmid
9182821|disease|pmid
19074676|disease|pmid
27777308|molecular interactions|pmid
10081969|molecular interactions|pmid
11756182|molecular interactions|pmid
30407370|disease|pmid
30309319|molecular interactions|pmid
20837861|disease|pmid
24651434|molecular interactions|pmid
10212299|molecular interactions|pmid
24368019|disease|pmid
"18495927|doi:10.1073/pnas.0801318105|imex:IM-9354"|molecular interactions|pmid
25448680|molecular interactions|pmid
18922873|molecular interactions|pmid
25092867|molecular interactions|pmid
19382180|disease|pmid
"22025620|imex:IM-23618"|molecular interactions|pmid
21614000|molecular interactions|pmid
1634521|molecular interactions|pmid
10769205|molecular interactions|pmid
11950880|molecular interactions|pmid
26675234|molecular interactions|pmid
12810635|disease|pmid
12902976|molecular interactions|pmid
32424140|molecular interactions|pmid
22249179|molecular interactions|pmid
27299748|disease|pmid
"22728660|doi:10.1038/nsmb.2332|imex:IM-18557"|molecular interactions|pmid
8772199|molecular interactions|pmid
16480679|molecular interactions|pmid
7524086|molecular interactions|pmid
10419510|molecular interactions|pmid
15699045|molecular interactions|pmid
9487134|molecular interactions|pmid
23254288|genetic interaction|pmid
31414711|disease|pmid
11273992|disease|pmid
20557936|molecular interactions|pmid
22056771|molecular interactions|pmid
20203415|disease|pmid
20160352|molecular interactions|pmid
11457836|molecular interactions|pmid
30663414|molecular interactions|pmid
21775628|molecular interactions|pmid
32929329|molecular interactions|pmid
34753771|molecular interactions|pmid
16905103|molecular interactions|pmid
24615128|disease|pmid
16364297|disease|pmid
15359284|molecular interactions|pmid
"imex:IM-13605|20227043"|molecular interactions|
20797634|molecular interactions|pmid
19691478|disease|pmid
34795231|molecular interactions|pmid
34512150|molecular interactions|pmid
22101235|molecular interactions|pmid
11069925|molecular interactions|pmid
27698941|disease|pmid
19046298|disease|pmid
23134465|molecular interactions|pmid
"16043508|imex:IM-19352"|molecular interactions|pmid
17356695|disease|pmid
29968724|disease|pmid
"19146815|imex:IM-20479"|molecular interactions|pmid
9931323|disease|pmid
8062452|molecular interactions|pmid
"imex:IM-22045|23680104"|molecular interactions|
26267535|molecular interactions|pmid
19567472|molecular interactions|pmid
"mint:MINT-7215309|19234221|doi:10.4049/jimmunol.0802621"|molecular interactions|
15005786|disease|pmid
20367638|molecular interactions|pmid
19486893|molecular interactions|pmid
34139860|molecular interactions|pmid
26556865|molecular interactions|pmid
19815549|molecular interactions|pmid
"20479242|doi:10.1073/pnas.1005843107|imex:IM-16413"|molecular interactions|pmid
29964232|disease|pmid
15944737|molecular interactions|pmid
"18528331|doi:10.1038/nature07027|imex:IM-21995"|molecular interactions|pmid
17607662|disease|pmid
20303269|molecular interactions|pmid
22113614|molecular interactions|pmid
24116184|disease|pmid
10611280|molecular interactions|pmid
26473596|disease|pmid
22391563|molecular interactions|pmid
18762581|molecular interactions|pmid
20028970|molecular interactions|pmid
10491172|molecular interactions|pmid
8832771|disease|pmid
"imex:IM-26345|25753662"|molecular interactions|
19039329|molecular interactions|pmid
2842867|molecular interactions|pmid
11694502|molecular interactions|pmid
21386698|molecular interactions|pmid
34157307|molecular interactions|pmid
27975172|disease|pmid
18309485|disease|pmid
21040551|disease|pmid
7559568|molecular interactions|pmid
20607301|disease|pmid
23892723|molecular interactions|pmid
"21620836|imex:IM-16738|mint:MINT-8177582|doi:10.1016/j.febslet.2011.05.036"|molecular interactions|pmid
9553082|disease|pmid
33522017|molecular interactions|pmid
9219533|molecular interactions|pmid
2813379|disease|pmid
22449478|disease|pmid
20885985|molecular interactions|pmid
9843499|molecular interactions|pmid
21714972|disease|pmid
29695423|molecular interactions|pmid
31536933|molecular interactions|pmid
7736578|molecular interactions|pmid
16306328|disease|pmid
10449770|molecular interactions|pmid
"25954010|doi:10.1126/science.1259308|imex:IM-24658"|molecular interactions|pmid
9325276|molecular interactions|pmid
11069897|molecular interactions|pmid
17023429|molecular interactions|pmid
"21876179|doi:10.1073/pnas.1101676108|imex:IM-21353"|molecular interactions|pmid
16777091|molecular interactions|pmid
33364200|molecular interactions|pmid
16293969|disease|pmid
21489991|molecular interactions|pmid
12023024|molecular interactions|pmid
34432492|molecular interactions|pmid
9927044|molecular interactions|pmid
20886638|disease|pmid
32341456|molecular interactions|pmid
"12387735|mint:MINT-6731512"|molecular interactions|pmid
25077174|disease|pmid
"18931684|imex:IM-26892"|molecular interactions|pmid
25024229|molecular interactions|pmid
10683443|molecular interactions|pmid
29784879|molecular interactions|pmid
14499677|disease|pmid
33531626|molecular interactions|pmid
19194174|disease|pmid
26498353|molecular interactions|pmid
19148483|disease|pmid
31632692|disease|pmid
17085477|molecular interactions|pmid
11058119|molecular interactions|pmid
24773260|disease|pmid
10318843|molecular interactions|pmid
"21455181|doi:""https://doi.org/10.1038/nature09814""|imex:IM-16226"|molecular interactions|pmid
"doi:10.1016/j.str.2005.11.008|imex:IM-8311|16472755"|molecular interactions|
24863065|molecular interactions|pmid
19299420|molecular interactions|pmid
9261168|molecular interactions|pmid
"imex:IM-28524|17920587"|molecular interactions|
19169273|molecular interactions|pmid
19722279|molecular interactions|pmid
21228219|molecular interactions|pmid
18579545|disease|pmid
15173007|molecular interactions|pmid
31474164|disease|pmid
27669434|disease|pmid
"mint:MINT-8247257|12556533|doi:10.1074/jbc.M211474200"|molecular interactions|
21910222|disease|pmid
17188587|molecular interactions|pmid
8001819|molecular interactions|pmid
20554076|molecular interactions|pmid
15576032|molecular interactions|pmid
12632327|disease|pmid
10388563|molecular interactions|pmid
14516475|molecular interactions|pmid
15826667|molecular interactions|pmid
"9182572|mint:MINT-5221526"|molecular interactions|pmid
34445214|molecular interactions|pmid
16619273|molecular interactions|pmid
12629548|molecular interactions|pmid
24116224|molecular interactions|pmid
15855230|molecular interactions|pmid
9924029|disease|pmid
16636147|molecular interactions|pmid
24200691|disease|pmid
"33422265|imex:IM-28646"|molecular interactions|pmid
24509834|molecular interactions|pmid
11346801|molecular interactions|pmid
18413808|disease|pmid
15147202|molecular interactions|pmid
16420563|disease|pmid
10854423|molecular interactions|pmid
16025836|disease|pmid
19754958|molecular interactions|pmid
18346985|disease|pmid
"16482217|imex:IM-10971|mint:MINT-5218335"|molecular interactions|pmid
"24234043|imex:IM-28659"|molecular interactions|pmid
29362422|molecular interactions|pmid
9603468|molecular interactions|pmid
14513073|disease|pmid
19325002|molecular interactions|pmid
7849710|disease|pmid
16469706|molecular interactions|pmid
29352853|disease|pmid
"11485747|imex:IM-23701"|molecular interactions|pmid
21229610|disease|pmid
15236414|disease|pmid
31213539|molecular interactions|pmid
10656684|molecular interactions|pmid
19223573|disease|pmid
22396657|molecular interactions|pmid
22287435|disease|pmid
26746706|molecular interactions|pmid
25423073|molecular interactions|pmid
1370874|disease|pmid
9388227|molecular interactions|pmid
19580641|molecular interactions|pmid
8632004|molecular interactions|pmid
12154087|molecular interactions|pmid
20671745|molecular interactions|pmid
15689152|molecular interactions|pmid
8631822|molecular interactions|pmid
10464337|molecular interactions|pmid
23253940|molecular interactions|pmid
7593184|molecular interactions|pmid
18477472|molecular interactions|pmid
24691442|disease|pmid
21474779|molecular interactions|pmid
"20406461|imex:IM-26433"|molecular interactions|pmid
10322114|molecular interactions|pmid
22596188|molecular interactions|pmid
22266850|molecular interactions|pmid
29567957|molecular interactions|pmid
19802386|molecular interactions|pmid
17261583|molecular interactions|pmid
33316896|molecular interactions|pmid
"12595532|imex:IM-26006"|molecular interactions|pmid
34299137|disease|pmid
18940814|molecular interactions|pmid
17711870|disease|pmid
22020773|disease|pmid
34645818|molecular interactions|pmid
19401155|molecular interactions|pmid
32805409|molecular interactions|pmid
34592152|molecular interactions|pmid
11830587|molecular interactions|pmid
14688252|molecular interactions|pmid
"19933256|mint:MINT-8009369|doi:10.1093/nar/gkp1041"|molecular interactions|pmid
27617218|disease|pmid
