pmid|biotype|identifier_type
10559936|molecular interactions|pmid
34353330|molecular interactions|pmid
26224628|molecular interactions|pmid
12374810|molecular interactions|pmid
11247302|molecular interactions|pmid
19272325|disease|pmid
10527860|molecular interactions|pmid
"12426371|mint:MINT-5215884"|molecular interactions|pmid
27241212|disease|pmid
"22678294|doi:10.1038/nature11055|imex:IM-18061"|molecular interactions|pmid
19085183|disease|pmid
20351251|molecular interactions|pmid
11117529|molecular interactions|pmid
18552411|disease|pmid
29967380|molecular interactions|pmid
14725715|molecular interactions|pmid
26944919|disease|pmid
12718878|molecular interactions|pmid
18042550|molecular interactions|pmid
16314315|molecular interactions|pmid
18931660|molecular interactions|pmid
35385713|molecular interactions|pmid
11994270|molecular interactions|pmid
19604272|disease|pmid
23645669|molecular interactions|pmid
12471035|molecular interactions|pmid
11527135|disease|pmid
19389706|disease|pmid
8896573|disease|pmid
11864704|disease|pmid
7516467|molecular interactions|pmid
26909602|disease|pmid
16380507|molecular interactions|pmid
"19732746|mint:MINT-8009270|doi:10.1016/j.bbrc.2009.08.165"|molecular interactions|pmid
14665628|molecular interactions|pmid
1322798|molecular interactions|pmid
24799442|disease|pmid
10722728|genetic interaction|pmid
33589597|molecular interactions|pmid
11948396|molecular interactions|pmid
18248301|disease|pmid
16495936|disease|pmid
"20588253|imex:IM-15008|mint:MINT-7996770|doi:10.1038/emboj.2010.141"|molecular interactions|pmid
21413932|molecular interactions|pmid
"mint:MINT-5220716|8068621"|molecular interactions|
21275903|molecular interactions|pmid
10958676|molecular interactions|pmid
12417987|disease|pmid
26215093|molecular interactions|pmid
7514169|molecular interactions|pmid
9878555|molecular interactions|pmid
29552756|disease|pmid
"18067320|mint:MINT-7216065|doi:10.1021/bi701336n"|molecular interactions|pmid
12909369|molecular interactions|pmid
"imex:IM-22955|23299939"|molecular interactions|
"22078881|imex:IM-16633"|molecular interactions|pmid
19572116|disease|pmid
"22484091|doi:10.1016/j.str.2012.03.001|imex:IM-18012"|molecular interactions|pmid
23316052|molecular interactions|pmid
15371950|disease|pmid
16286473|molecular interactions|pmid
17379600|molecular interactions|pmid
9235896|molecular interactions|pmid
33046662|molecular interactions|pmid
19703829|disease|pmid
15136035|molecular interactions|pmid
22793692|molecular interactions|pmid
15865439|molecular interactions|pmid
19176394|molecular interactions|pmid
10373551|molecular interactions|pmid
11692167|disease|pmid
9244350|molecular interactions|pmid
21822303|disease|pmid
16269331|genetic interaction|pmid
23057648|disease|pmid
7957210|molecular interactions|pmid
23615040|disease|pmid
9418871|molecular interactions|pmid
26620705|molecular interactions|pmid
20556591|disease|pmid
23707760|molecular interactions|pmid
10772824|molecular interactions|pmid
35115505|molecular interactions|pmid
30880765|disease|pmid
21185392|molecular interactions|pmid
25855964|molecular interactions|pmid
10320367|molecular interactions|pmid
11854302|molecular interactions|pmid
9789717|disease|pmid
3101769|disease|pmid
16396496|molecular interactions|pmid
12161353|disease|pmid
28177903|molecular interactions|pmid
11856738|molecular interactions|pmid
"imex:IM-21827|24705354"|molecular interactions|
15516986|molecular interactions|pmid
35353342|molecular interactions|pmid
24366338|molecular interactions|pmid
18254984|disease|pmid
21848584|disease|pmid
8106390|molecular interactions|pmid
"imex:IM-11953|18394993"|molecular interactions|
23660011|disease|pmid
"21620453|imex:IM-15817"|molecular interactions|pmid
24267727|molecular interactions|pmid
12471036|molecular interactions|pmid
19440222|disease|pmid
20436459|molecular interactions|pmid
10209036|molecular interactions|pmid
10535737|molecular interactions|pmid
15696159|molecular interactions|pmid
3201231|disease|pmid
8892355|disease|pmid
16963469|molecular interactions|pmid
19560417|molecular interactions|pmid
17154549|molecular interactions|pmid
15155736|molecular interactions|pmid
30009661|disease|pmid
9430226|molecular interactions|pmid
10777716|disease|pmid
doi:10.1101/2021.12.14.472545|molecular interactions|
29020631|molecular interactions|pmid
20167598|molecular interactions|pmid
16376875|molecular interactions|pmid
19343227|molecular interactions|pmid
16728974|molecular interactions|pmid
21864505|disease|pmid
21829568|molecular interactions|pmid
21569485|disease|pmid
16854379|molecular interactions|pmid
26452103|disease|pmid
11694516|molecular interactions|pmid
22068837|molecular interactions|pmid
16297189|disease|pmid
16714294|molecular interactions|pmid
18279051|disease|pmid
21129004|disease|pmid
17158602|molecular interactions|pmid
"imex:IM-23514|24769394"|molecular interactions|
9169439|molecular interactions|pmid
15368451|disease|pmid
21653699|molecular interactions|pmid
16371118|disease|pmid
23912453|molecular interactions|pmid
"18624290|imex:IM-26359"|molecular interactions|pmid
"1396585|mint:MINT-6730306"|molecular interactions|pmid
